"Gesamttitel","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
140211999,42.8,46.9,15.4,0,46.2,1.8,67.2,1.6,77.2,NA
140212501,473,542,62.2,74.4,186.1,183,254.8,345.4,252.7,NA
140235902,5000,3259.3,0,5700,2767,0,0,0,0,NA
140238101,0,0,0,0,0,0,0,NA,NA,NA
140242703,0,0,0,0,28.6,36.5,18.8,44.5,50.1,NA
140251101,1402.2,1143.6,1017.3,1082.4,1024.5,1003.4,1006.9,946.7,966.9,NA
140251102,51.2,40.1,34.5,56.4,52.1,181.7,101.8,68.2,70.8,NA
140251103,10.8,0,0.4,7.7,8.2,4.5,1.9,0,4.7,NA
140251143,1657.4,1501.1,1739.5,1744.5,1775.4,1962.1,1640.6,1830.4,1961.6,NA
140251144,76.8,160.6,183.2,237.6,183.7,253.2,471.9,552.3,805.3,NA
140251802,13365,14289.6,13758.9,14141.7,14698.3,15639.9,15013.5,15125,13411.4,NA
140252537,851.1,934.6,1127.9,1152.2,1152.7,1277.1,1202,1159.1,847.9,NA
140252699,0,0,0,0,0,0,0,NA,NA,NA
140252706,240.6,222.2,213,212.6,236.9,252.1,252.6,305.9,23.5,NA
140253302,0,0,180.4,135.8,59.4,791.8,1427,1770.5,2693,NA
140253303,8476.5,7514.8,7938.9,7491.8,17845,8752,20136.4,18413.2,19227.6,NA
140253304,11434.4,11262.7,10070.4,9804.5,0,8749.5,NA,NA,NA,NA
140253356,53743.2,54097.3,58491.3,67022,73888.7,84445.3,85381.4,104084.3,112380.3,NA
140253413,516.3,615.1,673,708.5,687.8,718.3,964.3,0,NA,NA
140253503,22.2,9.3,13.4,13.4,7,30.1,36.5,124.5,23.1,NA
140253602,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA
140253703,0,0,0,0,31.8,0,0,0,0,NA
140263102,237.8,558.5,496.4,581.6,593.5,508.8,515.3,663.3,1311.8,NA
140263206,2512.2,3063.2,3363.5,3289.5,3849.6,4633,5317.9,5692.9,8011.8,NA
140268504,257,253.4,271,155.3,493,332.3,339.2,619.1,733.9,NA
140271101,0.1,0.4,0.5,0.5,0.3,0,41.9,-35,0,NA
140271131,292.1,0,16,0,315.3,132.9,0,0,0,NA
140281201,0,0,0,0,0,0,0,0,0,NA
140281202,0,0,0,0,0,0,304.9,151.2,181.9,NA
140281246,7376.9,7302.1,6038.7,6687.8,5648.3,6503,8462.7,15614,8140.6,NA
140291902,2000,0,3830.3,0,0,6615,0,0,20000,NA
140335601,NA,813.2,701.6,742.4,884.2,975,200,1000,1000,NA
140335905,580.8,0,0,2250,0,0,NA,NA,NA,NA
140353306,NA,NA,0,0,513,413.7,378.1,398.2,553.7,NA
140363313,0,0,0,0,0,0,NA,NA,NA,NA
140368501,269.6,917,1359.6,2678.8,-8.7,0,0,2872,NA,NA
140368502,0,813.2,701.6,742.4,884.2,975,200,NA,NA,NA
140453401,41.5,64,74.1,0.1,4.4,0,NA,NA,NA,NA
140453402,0,0,0,0,0,0,NA,NA,NA,NA
140453501,0,21.7,0.2,73.5,0,0,0,25.6,13.3,NA
140468502,250,200,200,179.1,216.6,0,NA,NA,NA,NA
140551101,15.7,19.6,23.1,11.4,14.4,11.1,19.3,40.2,10,NA
140551701,40,41.7,186.2,225.6,228.4,281.5,40.1,0,0,NA
140552501,4.6,15.1,35.9,16.3,11.6,18.5,14.4,34.8,6.5,NA
140552701,15.9,10.3,18,13.1,5.1,8.3,1.8,7.8,0.9,NA
140553301,139.2,260.8,3767.6,7412.8,8046.2,9627.9,9982.9,10803.7,9963,NA
140553501,1,0.4,0.5,0.3,0,0,0.1,0,0.2,NA
140581201,2028.7,3752.1,317.2,15,424,8.5,963.8,462.2,8.8,NA
